date,open,high,low,close,volume,daily_return,rolling_avg_5d_close,rolling_vol_5d
2000-05-10,104.06,105.0,98.75,99.31,4777600.0,-0.058137329286798156,107.73600000000002,0.030469534981180088
2000-05-11,101.37,104.25,99.0,102.81,4462000.0,0.03524317792770115,106.16,0.04072649097098108
2000-05-12,106.0,110.5,104.77,107.62,2740300.0,0.04678533216613179,105.05999999999999,0.04720459010951674
2000-05-15,108.06,108.06,100.12,101.0,6061900.0,-0.06151272997584101,103.23600000000002,0.05271864776641448
2000-05-16,104.52,109.06,102.75,105.69,3932600.0,0.04643564356435648,103.28600000000002,0.0564257149783112
2000-05-17,103.62,103.69,100.37,101.37,3554400.0,-0.04087425489639507,103.69800000000001,0.05221526310767006
2000-05-18,103.0,104.94,100.62,100.75,3337300.0,-0.006116207951070374,103.28600000000002,0.04947311322676639
2000-05-19,99.25,99.25,93.37,94.0,6613100.0,-0.0669975186104218,100.562,0.04691829815349663
2000-05-22,93.75,93.75,86.0,89.94,6745600.0,-0.04319148936170214,98.35,0.044061646883884906
2000-05-23,90.5,93.37,85.62,85.81,4621300.0,-0.04591950189014893,94.374,0.02191487552418025
2000-05-24,86.19,89.75,83.0,87.69,6057700.0,0.02190886843025286,91.638,0.03550518238599295
2000-05-25,88.5,92.66,86.0,87.27,3631700.0,-0.004789599726308658,88.942,0.03571452735566449
2000-05-26,88.0,89.87,85.25,86.37,2460400.0,-0.010312822275695965,87.416,0.028410345264180705
2000-05-30,87.62,88.12,81.75,87.56,6366600.0,0.013777932152367667,86.94,0.026359777400118897
2000-05-31,86.87,91.25,83.81,84.0,3870600.0,-0.04065783462768391,86.578,0.024349513794915456
2000-06-01,81.75,89.56,80.37,89.12,8070000.0,0.06095238095238109,86.864,0.03746800513460281
2000-06-02,93.75,99.75,89.0,92.56,7079000.0,0.03859964093357271,87.922,0.03992691407568828
2000-06-05,93.31,95.25,89.69,91.31,2889900.0,-0.013504753673292957,88.91,0.0404049467673491
2000-06-06,91.97,96.75,90.31,92.87,4691800.0,0.017084656664111186,89.97200000000001,0.04047173709884982
2000-06-07,93.62,97.0,91.62,96.56,3009100.0,0.03973296005168514,92.48400000000001,0.028178102909956336
2000-06-08,97.62,98.5,93.12,94.81,2460400.0,-0.018123446561723267,93.622,0.02764758039092098
2000-06-09,96.75,97.94,94.37,95.75,2460400.0,0.00991456597405338,94.26,0.023628753651363722
2000-06-12,96.37,96.44,90.87,91.19,2592300.0,-0.047624020887728435,94.236,0.033783150290576554
2000-06-13,91.19,94.69,88.19,94.5,3138000.0,0.03629783967540301,94.562,0.03711285343401004
2000-06-14,94.69,96.25,90.12,90.44,2477200.0,-0.04296296296296298,93.338,0.035626373766664145
2000-06-15,91.25,93.37,89.0,92.37,2460400.0,0.021340114993365855,92.85,0.03833724867704382
2000-06-16,93.5,93.75,89.06,91.19,2710400.0,-0.01277471040381084,91.938,0.037522854297959235
2000-06-19,90.56,97.87,89.81,96.62,3517900.0,0.05954600285118983,93.024,0.04053560278877268
2000-06-20,98.5,103.94,98.37,101.25,4476700.0,0.04791968536534874,94.374,0.042540105493820916
2000-06-21,50.5,56.94,50.31,55.63,4375000.0,-0.4505679012345679,87.412,0.21626897305156872
2000-06-22,55.75,57.63,53.56,53.75,8352000.0,-0.03379471508179044,79.688,0.21200821631869074
2000-06-23,53.78,54.63,50.81,51.69,3660100.0,-0.03832558139534892,71.788,0.21034640643617442
2000-06-26,52.5,54.75,52.13,54.13,3309900.0,0.04720448829560864,63.290000000000006,0.20831750262996657
2000-06-27,53.78,55.5,51.63,51.75,3633400.0,-0.043968224644374665,53.39000000000001,0.1973687999111495
2000-06-28,53.31,55.38,51.5,54.44,5114800.0,0.05198067632850245,53.152,0.048521251709359864
2000-06-29,53.06,53.94,51.06,51.25,3636800.0,-0.05859662013225564,52.652,0.05342753858558605
2000-06-30,52.81,54.94,51.69,52.38,5769600.0,0.022048780487804898,52.79,0.05175293410922336
2000-07-03,52.13,54.31,52.13,53.31,2460400.0,0.017754868270332125,52.626,0.047028979172977985
2000-07-05,53.25,55.19,50.75,51.63,4736000.0,-0.03151378728193588,52.602,0.044523861747283684
2000-07-06,52.5,52.94,49.63,51.81,5527600.0,0.0034863451481697005,52.076,0.03464747871906959
2000-07-07,52.59,54.81,52.13,54.44,4707200.0,0.050762401080872266,52.714,0.030005263423242917
2000-07-10,54.09,58.25,53.75,57.13,7103500.0,0.04941219691403398,53.664,0.03435993494398511
2000-07-11,57.0,59.25,55.44,56.94,6391000.0,-0.003325748293366071,54.39,0.03566315792417564
2000-07-12,58.13,58.94,56.38,58.88,4025600.0,0.034070951879171085,55.84000000000001,0.02544321657053845
2000-07-13,58.5,60.63,54.75,56.5,7958200.0,-0.04042119565217395,56.778,0.039326042433671764
2000-07-14,57.13,59.0,56.88,57.69,3397800.0,0.021061946902654727,57.428,0.035183984927682196
2000-07-17,58.25,58.81,57.13,58.31,4642900.0,0.010747096550528745,57.664,0.02857837784266848
2000-07-18,58.5,58.88,56.88,57.25,5685800.0,-0.01817870005144917,57.726,0.030305418974749605
2000-07-19,55.19,56.81,51.75,52.69,8176300.0,-0.0796506550218341,56.488,0.04062545949413078
2000-07-20,55.0,57.06,54.13,55.13,8313800.0,0.04630859745682292,56.214,0.04821974060468268
2000-07-21,54.36,55.63,52.94,53.56,3504200.0,-0.02847814257210235,55.388,0.04686822059398314
2000-07-24,52.56,52.88,47.5,48.69,7360200.0,-0.0909260642270352,53.464,0.0548968652280508
2000-07-25,50.31,50.63,49.06,50.06,3778700.0,0.028137194495789775,52.025999999999996,0.06175249885511436
2000-07-26,49.84,51.25,49.25,50.06,3758400.0,0.0,51.5,0.05387599154443805
2000-07-27,50.0,53.25,49.88,52.0,5267600.0,0.038753495805033955,50.874,0.0520109484348653
2000-07-28,52.28,52.5,46.88,48.31,4248100.0,-0.07096153846153841,49.824,0.05871912289708278
2000-07-31,49.16,51.63,48.75,50.81,2773200.0,0.051749120264955595,50.248000000000005,0.04886819777232609
2000-08-01,50.31,51.16,49.25,49.31,2460400.0,-0.029521747687463074,50.098,0.050167109886889605
2000-08-02,49.0,49.94,47.19,47.25,2899200.0,-0.04177651591969178,49.536,0.05314224881049357
2000-08-03,45.56,48.06,44.25,48.0,6069600.0,0.015873015873015817,48.736000000000004,0.04865212907911514
2000-08-04,49.47,51.25,46.31,47.38,4698600.0,-0.012916666666666576,48.55,0.03761153767244558
2000-08-07,47.88,49.06,47.19,47.94,3345500.0,0.011819333051920511,47.976,0.02518104432364367
2000-08-08,47.94,48.0,46.31,46.75,3154900.0,-0.024822695035460973,47.464,0.02440695285347718
2000-08-09,48.13,48.44,47.25,47.5,6779300.0,0.016042780748663166,47.513999999999996,0.018873504581387573
2000-08-10,48.0,48.44,47.38,47.56,4494900.0,0.001263157894736855,47.426,0.01707943919659781
2000-08-11,46.84,48.0,45.56,47.69,4251000.0,0.0027333894028593875,47.488,0.015909114200458666
2000-08-14,47.59,47.69,46.31,47.06,2797500.0,-0.013210316628223806,47.312,0.015750888259563296
2000-08-15,47.25,47.94,46.5,46.69,2460400.0,-0.00786230344241401,47.3,0.0112088418447376
2000-08-16,46.88,49.0,46.81,48.5,2565600.0,0.03876633112015426,47.5,0.020335499953392806
2000-08-17,48.38,52.44,48.31,51.44,4837500.0,0.06061855670103089,48.275999999999996,0.032045115988299226
2000-08-18,51.38,51.81,49.88,50.0,3396000.0,-0.027993779160186527,48.738,0.03771945034971244
2000-08-21,50.25,51.56,49.63,50.5,2460400.0,0.010000000000000009,49.426,0.035502141811265785
2000-08-22,50.63,52.81,50.38,51.69,4942900.0,0.023564356435643585,50.426,0.03321610482957921
2000-08-23,51.47,54.75,51.06,54.31,4229700.0,0.05068678661249759,51.588,0.0351805846910186
2000-08-24,54.67,56.63,53.38,56.11,5549400.0,0.03314306757503216,52.522000000000006,0.029614423859522034
2000-08-25,56.5,57.5,56.38,56.81,5972500.0,0.012475494564248901,53.884,0.01662304168269955
2000-08-28,57.25,59.0,57.06,58.06,6410800.0,0.022003168456257605,55.396,0.014466228699664612
2000-08-29,57.88,59.44,57.69,59.19,4768400.0,0.019462624870823175,56.896,0.014916491720917347
2000-08-30,59.0,60.0,58.7,59.5,5096300.0,0.005237371177563732,57.934000000000005,0.010485751005900892
2000-08-31,58.97,61.5,58.94,60.94,7492800.0,0.02420168067226891,58.9,0.007766375389188092
2000-09-01,61.31,63.63,61.13,63.44,4587000.0,0.041023957991467075,60.226,0.012781219882461474
2000-09-05,62.66,64.12,62.25,62.44,5332900.0,-0.015762925598991173,61.102,0.0213504018650798
2000-09-06,61.38,62.38,57.75,58.44,6346500.0,-0.06406149903907754,60.952,0.04071527599892124
2000-09-07,59.13,62.56,58.25,62.0,3883300.0,0.0609171800136894,61.452,0.04975654744544782
2000-09-08,61.63,61.63,58.5,58.88,3491400.0,-0.05032258064516126,61.04,0.05504421260606343
2000-09-11,58.69,60.38,58.13,58.44,3346100.0,-0.007472826086956652,60.04,0.048669277298118686
2000-09-12,57.34,60.06,57.0,57.75,3357100.0,-0.011806981519507098,59.102,0.048692843060200136
2000-09-13,56.75,59.5,56.75,58.0,5464000.0,0.0043290043290042934,59.013999999999996,0.0401667084222686
2000-09-14,58.56,59.63,56.81,56.86,7617000.0,-0.01965517241379311,57.986000000000004,0.020555438513539585
2000-09-15,57.75,58.19,54.25,55.23,7044900.0,-0.028666901160745772,57.25599999999999,0.012464086975774509
2000-09-18,55.25,60.75,55.06,60.66,7581000.0,0.09831613253666482,57.7,0.05164978361760867
2000-09-19,59.75,60.5,58.56,59.94,4848400.0,-0.011869436201780381,58.138,0.05165593055343039
2000-09-20,59.41,61.44,58.56,61.05,4060500.0,0.0185185185185186,58.748000000000005,0.05175980316525632
2000-09-21,58.5,59.63,55.25,56.69,9115900.0,-0.07141687141687136,58.714,0.06337837961448571
2000-09-22,50.31,52.44,50.0,52.19,12976800.0,-0.07937907920268128,58.105999999999995,0.07268286839190864
2000-09-25,52.75,55.5,52.06,53.5,7777700.0,0.025100593983521824,56.674,0.04919568963428883
2000-09-26,53.31,54.75,51.38,51.44,5195300.0,-0.03850467289719628,54.974000000000004,0.04902135348269203
2000-09-27,51.75,52.75,48.25,48.94,7183200.0,-0.048600311041990696,52.552,0.041289377068677385
2000-09-28,49.31,53.81,48.13,53.5,17492600.0,0.09317531671434409,51.914,0.0689066625118627
2000-09-29,28.19,29.0,25.37,25.75,132529300.0,-0.5186915887850467,46.626,0.24220960170236475
2000-10-02,26.69,26.75,23.5,24.25,43299800.0,-0.058252427184465994,40.775999999999996,0.23440413649804492
2000-10-03,24.94,25.0,22.19,22.31,36395000.0,-0.08000000000000007,34.949999999999996,0.23177509490504455
2000-10-04,22.37,23.75,21.87,23.62,26179000.0,0.058718063648588226,29.886000000000003,0.2449227078525863
2000-10-05,23.5,24.5,22.0,22.06,15589400.0,-0.06604572396274355,23.598,0.22270652562234075
